date,year,month,day,precipitation_mm,temp_c,humidity_pct
2020-10-02,2020,10,02,2.47,28.02,80.9
2020-10-03,2020,10,03,12.89,27.32,83.18
2020-10-04,2020,10,04,5.54,28.08,77.46
2020-10-05,2020,10,05,2.4,28.19,73.85
2020-10-06,2020,10,06,0.85,27.81,75.55
2020-10-07,2020,10,07,0.46,28.19,76.28
2020-10-08,2020,10,08,2.05,28.04,77.3
2020-10-09,2020,10,09,2.98,27.51,81.35
2020-10-10,2020,10,10,3.68,27.49,81.82
2020-10-11,2020,10,11,5.06,27.46,81.2
2020-10-12,2020,10,12,5.18,27.99,78.6
2020-10-13,2020,10,13,12.94,27.77,82.26
2020-10-14,2020,10,14,3.05,28.37,79.23
2020-10-15,2020,10,15,3.25,27.46,79.81
2020-10-16,2020,10,16,11.41,27.62,80.01
2020-10-17,2020,10,17,13.02,27.82,78.39
2020-10-18,2020,10,18,5.51,27.8,79.43
2020-10-19,2020,10,19,7.01,27.69,81.84
2020-10-20,2020,10,20,11.31,27.18,86.52
2020-10-21,2020,10,21,8.68,27.87,81.45
2020-10-22,2020,10,22,3.16,27.52,81.68
2020-10-23,2020,10,23,4.69,27.98,81.14
2020-10-24,2020,10,24,6.5,27.34,86.38
2020-10-25,2020,10,25,9.34,27.49,88.01
2020-10-26,2020,10,26,24.61,27.09,85.9
2020-10-27,2020,10,27,9.98,26.36,88.72
2020-10-28,2020,10,28,6.62,27.79,81.67
2020-10-29,2020,10,29,2.59,28.17,81.13
2020-10-30,2020,10,30,6.07,27.57,82.89
2020-10-31,2020,10,31,11.67,27.35,83.58
2020-11-01,2020,11,01,7.04,27.84,80.15
2020-11-02,2020,11,02,7.12,28.31,80.37
2020-11-03,2020,11,03,9.33,27.83,79.82
2020-11-04,2020,11,04,1.86,27.99,79.87
2020-11-05,2020,11,05,4.16,27.54,81.15
2020-11-06,2020,11,06,2.51,27.7,81.26
2020-11-07,2020,11,07,3.77,27.83,83.99
2020-11-08,2020,11,08,6.3,27.34,83.5
2020-11-09,2020,11,09,4.05,27.75,77.44
2020-11-10,2020,11,10,5.59,28.1,80.8
2020-11-11,2020,11,11,2.07,28.68,77.36
2020-11-12,2020,11,12,5.97,28.46,83.61
2020-11-13,2020,11,13,1.36,28.65,81.96
2020-11-14,2020,11,14,2.92,28.38,80.19
2020-11-15,2020,11,15,4.17,27.89,82.76
2020-11-16,2020,11,16,2.33,27.84,83.61
2020-11-17,2020,11,17,4.87,27.94,81.98
2020-11-18,2020,11,18,3.08,28.2,80.99
2020-11-19,2020,11,19,2.7,28.09,82.79
2020-11-20,2020,11,20,1.31,28.21,80.3
2020-11-21,2020,11,21,2.15,28.04,78.17
2020-11-22,2020,11,22,2.44,28.17,76.99
2020-11-23,2020,11,23,5.12,27.0,82.7
2020-11-24,2020,11,24,26.81,27.77,81.84
2020-11-25,2020,11,25,27.51,27.54,84.16
